ts,mid,top_usd,top_bps,s0.1_usd,s0.1_bps,s1_usd,s1_bps,s5_usd,s5_bps,s10_usd,s10_bps
2025-08-23T14:33:01.569540Z,115043.575,0.01,0.0008692358525888994670063060888,6.510829264,0.5659446226353796811338660156,18.2146974862,1.583286809906594088370428336,32.56676626814,2.830820084315008465270659400,49.45369027408,4.298692062905729416006065528
2025-08-23T14:33:01.620111Z,115043.575,0.01,0.0008692358525888994670063060888,6.359314262,0.5527743954410318003417400754,18.2210086182,1.583835396127076196997528980,32.60252706944,2.833928541375735237713188242,49.52852974166,4.305197377746649476078955300
2025-08-23T14:33:01.676605Z,115043.575,0.01,0.0008692358525888994670063060888,6.200425786,0.5389632394507907112587556498,17.7367189385,1.541739200863672743132330510,32.29920413620,2.807562624527271514293605705,48.98653358710,4.258085128795762822912970151
2025-08-23T14:33:01.736248Z,115043.575,0.01,0.0008692358525888994670063060888,8.581430002,0.7459286624220431258329724194,18.3126489858,1.591801105433310812881119176,32.54888212780,2.829265530717382522231250202,49.22616554107,4.278914797377428509154031418
2025-08-23T14:33:01.798527Z,115043.575,0.01,0.0008692358525888994670063060888,8.581430002,0.7459286624220431258329724194,18.3187385858,1.592330435298103349100547336,32.55423474780,2.829730799638310961737758932,49.23155622107,4.279383374610011902011911574
2025-08-23T14:33:01.859131Z,115043.575,0.01,0.0008692358525888994670063060888,7.575835114,0.6585187494390712388762258127,17.9147539843,1.557214645346339419650336840,32.22931219868,2.801487366737342785114249101,48.80010187302,4.241879815801968949591491746
2025-08-23T14:33:01.893845Z,115043.575,0.01,0.0008692358525888994670063060888,8.037705674,0.6986661944398024835372162244,18.0008926054,1.564702123121608486175781655,32.24833568926,2.803140956742695104876565249,48.81038203743,4.242773404549536990657670365
2025-08-23T14:33:01.969686Z,115043.575,0.01,0.0008692358525888994670063060888,9.516544985,0.8272122093737090489408035173,18.2613240034,1.587339753949753386923172372,32.37763218008,2.814379871286162656193533624,48.95489822687,4.255335269863614721639170201
2025-08-23T14:33:02.005100Z,115043.575,0.01,0.0008692358525888994670063060888,8.026638547,0.6977042000824470206180571144,17.9997858146,1.564605916897140931164560907,32.43643199784,2.819490962258431207479426817,49.00128394656,4.259367282923883406787384693
2025-08-23T14:33:02.079347Z,115043.575,0.01,0.0008692358525888994670063060888,10.023523979,0.8712806411831343036758028425,18.3578731128,1.595732148692354179709731726,32.38611559554,2.815117280173186551269812330,48.81165591473,4.242884134531632905183970509
2025-08-23T14:33:02.139768Z,115043.575,0.01,0.0008692358525888994670063060888,9.631747801,0.8372260511723492598348060724,18.4154461545,1.600736603891177755906837909,32.48995413060,2.824143297928632694176967293,48.65152932524,4.228965357277883619315550651
2025-08-23T14:33:02.187115Z,115043.575,0.01,0.0008692358525888994670063060888,8.012775865,0.6964992060617031416139493231,18.1400997162,1.576802504285876025671142435,32.35745301316,2.812625825749938664545151696,48.51467047118,4.217069095008565232782447868
2025-08-23T14:33:02.249366Z,115043.575,0.01,0.0008692358525888994670063060888,8.183669274,0.7113538738690969921614483903,18.0072766450,1.565257046732075215847560370,32.28176460338,2.806046717809317034871352007,48.41788407757,4.208656074671705916649408713
2025-08-23T14:33:02.299631Z,115043.575,0.01,0.0008692358525888994670063060888,8.181824871,0.7111935517476747397670839071,17.9934398800,1.564054305509890491494201219,32.34779082190,2.811785953444162353264838997,48.49800574579,4.215620537330311579764450122
2025-08-23T14:33:02.362742Z,115043.575,0.01,0.0008692358525888994670063060888,8.218714545,0.7144001344707863955027475459,18.0046918064,1.565032363293647646120176637,32.30249091654,2.807848323258382747580644986,48.44261229787,4.210805540237253579784877165
2025-08-23T14:33:02.424212Z,115043.575,0.01,0.0008692358525888994670063060888,8.732421018,0.7590533428746455419174864828,18.0258676225,1.566873041149842570521647993,32.27694012234,2.805627356620306696832048204,48.38957601646,4.206195436508296964867442619
2025-08-23T14:33:02.488367Z,115043.575,0.01,0.0008692358525888994670063060888,8.584455393,0.7461916402545731041477109869,18.0274986201,1.567014813308783215403380849,32.26536761336,2.804621432649324397299023435,48.36627384384,4.204169928119845023939841925
2025-08-23T14:33:02.540057Z,115043.575,0.01,0.0008692358525888994670063060888,8.242189795,0.7164406873656351517240315246,17.9780148093,1.562713503061774636262824760,32.27492985622,2.805452617081831818943387321,48.40495992370,4.207532660880887959192853664
2025-08-23T14:33:02.609873Z,115043.575,0.01,0.0008692358525888994670063060888,9.333222200,0.8112771356418643979031423528,18.2925796325,1.590056605290647478574966051,32.41394919216,2.817536676182046672315250982,48.52131163024,4.217646368364334992197521678
2025-08-23T14:33:02.646793Z,115043.575,0.01,0.0008692358525888994670063060888,9.333222200,0.8112771356418643979031423528,18.2925796325,1.590056605290647478574966051,32.41394919216,2.817536676182046672315250982,48.52131163024,4.217646368364334992197521678
2025-08-23T14:33:02.718488Z,115043.575,0.01,0.0008692358525888994670063060888,6.582300281,0.5721571396751187539156358797,17.9781570968,1.562725871201412160566115926,32.33544104592,2.810712466638836632119612069,48.52461486377,4.217933497265709971200043114
2025-08-23T14:33:02.779675Z,115043.575,0.01,0.0008692358525888994670063060888,5.916346181,0.5142700216852614324615694531,16.3199028675,1.418584468319938771026543638,31.71594754814,2.756863870767228852197960642,47.91405269618,4.164861244635347954025246521
2025-08-23T14:33:02.839481Z,115043.575,0.01,0.0008692358525888994670063060888,5.873879377,0.5105786548270948638374633264,16.3101628887,1.417737834442297190434146366,31.71368649602,2.756667332010501238335126494,47.91225259432,4.164704773327845557650655415
2025-08-23T14:33:02.863153Z,115043.575,0.01,0.0008692358525888994670063060888,5.873879377,0.5105786548270948638374633264,16.1602507977,1.404706938018920222185376280,31.60123070138,2.746892271157254979254599833,47.75360649454,4.150914685547628366034348289
2025-08-23T14:33:02.946940Z,115043.575,0.01,0.0008692358525888994670063060888,5.979059313,0.5197212719615154518624790650,16.1762626932,1.406098749382570908457947347,31.60349199674,2.747088831057275471489824616,47.75540690942,4.151071184063951420146670512
2025-08-23T14:33:02.989935Z,115043.575,0.01,0.0008692358525888994670063060888,6.010415933,0.5224469017935160655429909928,16.1793987173,1.406371343840801192070048240,31.6034921537,2.747088844700801413725190651,47.75540710274,4.151071200868018922395275008
2025-08-23T14:33:03.006851Z,115043.575,0.01,0.0008692358525888994670063060888,6.010415933,0.5224469017935160655429909928,16.1793987173,1.406371343840801192070048240,31.6034921537,2.747088844700801413725190651,47.75540710274,4.151071200868018922395275008
2025-08-23T14:33:03.096293Z,115043.575,0.01,0.0008692358525888994670063060888,5.979059313,0.5197212719615154518624790650,16.1868199654,1.407016425332748917095109397,31.61335276328,2.747945964238333170713792578,47.76510684838,4.151914337535147008427024282
2025-08-23T14:33:03.148842Z,115043.575,0.01,0.0008692358525888994670063060888,5.979059313,0.5197212719615154518624790650,16.1868199654,1.407016425332748917095109397,31.61335276328,2.747945964238333170713792578,47.76510684838,4.151914337535147008427024282
2025-08-23T14:33:03.217345Z,115043.575,0.01,0.0008692358525888994670063060888,5.886833723,0.5117046930260990237829448537,16.1775964408,1.406214683505793348303023441,31.61335235984,2.747945929169881933867232481,47.76510634042,4.151914293381442640321286956
