ts,mid,position,exposure,realized,unrealized,total,mode
2025-08-23T11:29:11.021303+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:11.286310+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:11.559518+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:11.825076+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:12.090218+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:12.356538+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:12.613126+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:12.878198+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:13.145649+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:13.410873+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:13.676284+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:13.942234+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:14.207784+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:14.472473+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:14.737420+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:15.007810+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:15.272196+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:15.534523+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:15.802859+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:16.065471+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:16.327957+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:16.596848+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:16.863661+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:17.128553+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:17.392027+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:17.657151+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:17.920738+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:18.186096+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:18.454630+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:18.723636+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:18.988804+00:00,115469.675,0,0.000,0,0,0,normal
